Using device: cuda
/export/scratch/aqsa-laiba_cv2proj/cv2_project_sol/Eye-fixation-prediction-main/predict_test.py:77: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(checkpoint_dir, map_location=device)
image-4282.png saved shape: (224, 224) min/max: 128 255
image-4283.png saved shape: (224, 224) min/max: 131 255
image-4284.png saved shape: (224, 224) min/max: 138 255
image-4285.png saved shape: (224, 224) min/max: 128 255
image-4286.png saved shape: (224, 224) min/max: 128 255
image-4287.png saved shape: (224, 224) min/max: 128 255
image-4288.png saved shape: (224, 224) min/max: 128 255
image-4289.png saved shape: (224, 224) min/max: 128 255
image-4290.png saved shape: (224, 224) min/max: 132 255
image-4291.png saved shape: (224, 224) min/max: 128 255
image-4292.png saved shape: (224, 224) min/max: 128 255
image-4293.png saved shape: (224, 224) min/max: 128 255
image-4294.png saved shape: (224, 224) min/max: 128 255
image-4295.png saved shape: (224, 224) min/max: 128 255
image-4296.png saved shape: (224, 224) min/max: 128 255
image-4297.png saved shape: (224, 224) min/max: 128 255
image-4298.png saved shape: (224, 224) min/max: 128 255
image-4299.png saved shape: (224, 224) min/max: 128 255
image-4300.png saved shape: (224, 224) min/max: 128 255
image-4301.png saved shape: (224, 224) min/max: 128 255
image-4302.png saved shape: (224, 224) min/max: 128 255
image-4303.png saved shape: (224, 224) min/max: 140 255
image-4304.png saved shape: (224, 224) min/max: 128 255
image-4305.png saved shape: (224, 224) min/max: 128 255
image-4306.png saved shape: (224, 224) min/max: 128 255
image-4307.png saved shape: (224, 224) min/max: 132 253
image-4308.png saved shape: (224, 224) min/max: 128 255
image-4309.png saved shape: (224, 224) min/max: 128 255
image-4310.png saved shape: (224, 224) min/max: 128 255
image-4311.png saved shape: (224, 224) min/max: 128 255
image-4312.png saved shape: (224, 224) min/max: 128 255
image-4313.png saved shape: (224, 224) min/max: 137 255
image-4314.png saved shape: (224, 224) min/max: 128 255
image-4315.png saved shape: (224, 224) min/max: 134 255
image-4316.png saved shape: (224, 224) min/max: 128 255
image-4317.png saved shape: (224, 224) min/max: 131 255
image-4318.png saved shape: (224, 224) min/max: 128 255
image-4319.png saved shape: (224, 224) min/max: 129 254
image-4320.png saved shape: (224, 224) min/max: 132 255
image-4321.png saved shape: (224, 224) min/max: 128 255
image-4322.png saved shape: (224, 224) min/max: 128 255
image-4323.png saved shape: (224, 224) min/max: 128 255
image-4324.png saved shape: (224, 224) min/max: 128 255
image-4325.png saved shape: (224, 224) min/max: 131 255
image-4326.png saved shape: (224, 224) min/max: 128 255
image-4327.png saved shape: (224, 224) min/max: 134 255
image-4328.png saved shape: (224, 224) min/max: 128 255
image-4329.png saved shape: (224, 224) min/max: 128 255
image-4330.png saved shape: (224, 224) min/max: 128 255
image-4331.png saved shape: (224, 224) min/max: 128 255
image-4332.png saved shape: (224, 224) min/max: 128 255
image-4333.png saved shape: (224, 224) min/max: 128 255
image-4334.png saved shape: (224, 224) min/max: 128 255
image-4335.png saved shape: (224, 224) min/max: 128 255
image-4336.png saved shape: (224, 224) min/max: 128 255
image-4337.png saved shape: (224, 224) min/max: 128 255
image-4338.png saved shape: (224, 224) min/max: 130 255
image-4339.png saved shape: (224, 224) min/max: 129 253
image-4340.png saved shape: (224, 224) min/max: 128 255
image-4341.png saved shape: (224, 224) min/max: 128 255
image-4342.png saved shape: (224, 224) min/max: 128 255
image-4343.png saved shape: (224, 224) min/max: 128 255
image-4344.png saved shape: (224, 224) min/max: 134 255
image-4345.png saved shape: (224, 224) min/max: 128 254
image-4346.png saved shape: (224, 224) min/max: 128 255
image-4347.png saved shape: (224, 224) min/max: 130 255
image-4348.png saved shape: (224, 224) min/max: 128 255
image-4349.png saved shape: (224, 224) min/max: 130 250
image-4350.png saved shape: (224, 224) min/max: 128 255
image-4351.png saved shape: (224, 224) min/max: 128 255
image-4352.png saved shape: (224, 224) min/max: 128 255
image-4353.png saved shape: (224, 224) min/max: 128 255
image-4354.png saved shape: (224, 224) min/max: 133 255
image-4355.png saved shape: (224, 224) min/max: 128 255
image-4356.png saved shape: (224, 224) min/max: 128 255
image-4357.png saved shape: (224, 224) min/max: 128 255
image-4358.png saved shape: (224, 224) min/max: 128 255
image-4359.png saved shape: (224, 224) min/max: 128 255
image-4360.png saved shape: (224, 224) min/max: 128 255
image-4361.png saved shape: (224, 224) min/max: 133 254
image-4362.png saved shape: (224, 224) min/max: 134 255
image-4363.png saved shape: (224, 224) min/max: 128 255
image-4364.png saved shape: (224, 224) min/max: 128 255
image-4365.png saved shape: (224, 224) min/max: 128 255
image-4366.png saved shape: (224, 224) min/max: 128 255
image-4367.png saved shape: (224, 224) min/max: 128 255
image-4368.png saved shape: (224, 224) min/max: 128 255
image-4369.png saved shape: (224, 224) min/max: 131 254
image-4370.png saved shape: (224, 224) min/max: 128 255
image-4371.png saved shape: (224, 224) min/max: 130 254
image-4372.png saved shape: (224, 224) min/max: 128 255
image-4373.png saved shape: (224, 224) min/max: 128 255
image-4374.png saved shape: (224, 224) min/max: 128 255
image-4375.png saved shape: (224, 224) min/max: 128 255
image-4376.png saved shape: (224, 224) min/max: 129 255
image-4377.png saved shape: (224, 224) min/max: 128 255
image-4378.png saved shape: (224, 224) min/max: 128 255
image-4379.png saved shape: (224, 224) min/max: 128 255
image-4380.png saved shape: (224, 224) min/max: 128 255
image-4381.png saved shape: (224, 224) min/max: 128 255
image-4382.png saved shape: (224, 224) min/max: 128 255
image-4383.png saved shape: (224, 224) min/max: 128 255
image-4384.png saved shape: (224, 224) min/max: 132 255
image-4385.png saved shape: (224, 224) min/max: 131 255
image-4386.png saved shape: (224, 224) min/max: 128 255
image-4387.png saved shape: (224, 224) min/max: 128 255
image-4388.png saved shape: (224, 224) min/max: 128 255
image-4389.png saved shape: (224, 224) min/max: 128 255
image-4390.png saved shape: (224, 224) min/max: 128 255
image-4391.png saved shape: (224, 224) min/max: 128 255
image-4392.png saved shape: (224, 224) min/max: 128 255
image-4393.png saved shape: (224, 224) min/max: 128 255
image-4394.png saved shape: (224, 224) min/max: 136 255
image-4395.png saved shape: (224, 224) min/max: 128 255
image-4396.png saved shape: (224, 224) min/max: 128 251
image-4397.png saved shape: (224, 224) min/max: 133 255
image-4398.png saved shape: (224, 224) min/max: 128 255
image-4399.png saved shape: (224, 224) min/max: 128 255
image-4400.png saved shape: (224, 224) min/max: 128 255
image-4401.png saved shape: (224, 224) min/max: 128 255
image-4402.png saved shape: (224, 224) min/max: 128 255
image-4403.png saved shape: (224, 224) min/max: 128 255
image-4404.png saved shape: (224, 224) min/max: 128 255
image-4405.png saved shape: (224, 224) min/max: 131 255
image-4406.png saved shape: (224, 224) min/max: 128 255
image-4407.png saved shape: (224, 224) min/max: 129 255
image-4408.png saved shape: (224, 224) min/max: 128 255
image-4409.png saved shape: (224, 224) min/max: 128 255
image-4410.png saved shape: (224, 224) min/max: 128 255
image-4411.png saved shape: (224, 224) min/max: 128 255
image-4412.png saved shape: (224, 224) min/max: 128 255
image-4413.png saved shape: (224, 224) min/max: 128 219
image-4414.png saved shape: (224, 224) min/max: 128 255
image-4415.png saved shape: (224, 224) min/max: 129 255
image-4416.png saved shape: (224, 224) min/max: 128 255
image-4417.png saved shape: (224, 224) min/max: 128 255
image-4418.png saved shape: (224, 224) min/max: 128 255
image-4419.png saved shape: (224, 224) min/max: 128 255
image-4420.png saved shape: (224, 224) min/max: 133 255
image-4421.png saved shape: (224, 224) min/max: 128 255
image-4422.png saved shape: (224, 224) min/max: 128 255
image-4423.png saved shape: (224, 224) min/max: 128 255
image-4424.png saved shape: (224, 224) min/max: 128 255
image-4425.png saved shape: (224, 224) min/max: 132 255
image-4426.png saved shape: (224, 224) min/max: 128 255
image-4427.png saved shape: (224, 224) min/max: 128 255
image-4428.png saved shape: (224, 224) min/max: 131 254
image-4429.png saved shape: (224, 224) min/max: 128 255
image-4430.png saved shape: (224, 224) min/max: 128 255
image-4431.png saved shape: (224, 224) min/max: 128 255
image-4432.png saved shape: (224, 224) min/max: 128 255
image-4433.png saved shape: (224, 224) min/max: 128 255
image-4434.png saved shape: (224, 224) min/max: 128 255
image-4435.png saved shape: (224, 224) min/max: 128 255
